iter	Passed	Remaining
0	1	157
1	2	144
2	4	138
3	5	125
4	6	124
5	7	122
6	9	120
7	10	118
8	11	117
9	12	115
10	15	121
11	17	124
12	18	126
13	20	127
14	22	129
15	24	130
16	26	127
17	27	124
18	28	122
19	30	120
20	31	117
21	32	115
22	33	112
23	35	110
24	36	108
25	37	107
26	38	104
27	40	103
28	41	101
29	42	99
30	44	98
31	45	96
32	46	94
33	47	92
34	49	91
35	50	89
36	51	88
37	53	86
38	54	84
39	55	83
40	56	81
41	57	79
42	58	77
43	59	76
44	61	74
45	62	73
46	63	71
47	64	70
48	66	68
49	67	67
50	68	65
51	69	64
52	71	63
53	72	61
54	73	60
55	74	58
56	75	57
57	77	55
58	78	54
59	79	53
60	80	51
61	82	50
62	83	48
63	84	47
64	86	46
65	87	44
66	88	43
67	89	42
68	91	40
69	92	39
70	93	38
71	94	36
72	96	35
73	97	34
74	98	32
75	100	31
76	101	30
77	102	29
78	104	27
79	105	26
80	106	25
81	107	23
82	109	22
83	110	21
84	111	19
85	112	18
86	114	17
87	115	15
88	116	14
89	118	13
90	119	11
91	120	10
92	121	9
93	123	7
94	124	6
95	125	5
96	126	3
97	128	2
98	129	1
99	130	0
